student_id,db_path,is_valid_sqlite,has_projects,has_files,project_count,file_count,tables,error
23025313,data/student_metadata/23025313.db,True,True,True,1256,4879,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;REPOSITORIES;sqlite_sequence,
23025328,data/student_metadata/23025328.db,True,True,True,387,11979,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;REPOSITORIES;sqlite_sequence,
23041405,data/student_metadata/23041405.db,True,True,True,1167,1388,files;keywords;licenses;person_role;projects;qualitative_scores_aussda;qualitative_scores_ukdata;sqlite_sequence,
23047806,data/student_metadata/23047806.db,True,True,True,832,23583,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23071063,data/student_metadata/23071063.db,True,True,True,16,16,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23071082,data/student_metadata/23071082.db,True,True,True,133,67169,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23079239,data/student_metadata/23079239.db,True,True,True,20,33,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS,
23079506,data/student_metadata/23079506.db,True,True,True,1518,21232,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;REPOSITORIES;sqlite_sequence,
23080363,data/student_metadata/23080363.db,True,True,True,886,15836,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23082320,data/student_metadata/23082320.db,True,True,True,135,135,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23084716,data/student_metadata/23084716.db,True,True,True,5936,114763,files;keywords;licenses;person_role;projects;sqlite_sequence,
23100834,data/student_metadata/23100834.db,True,True,True,2624,6709,classifications;content_cache;files;keywords;licenses;person_role;projects;relevance_scores;sqlite_sequence,
23123639,data/student_metadata/23123639.db,True,True,True,230,20322,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;REPOSITORIES;sqlite_sequence,
23129103,data/student_metadata/23129103.db,True,True,True,7511,77743,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;REPOSITORIES;sqlite_sequence,
23129118,data/student_metadata/23129118.db,True,True,True,0,0,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23129194,data/student_metadata/23129194.db,True,True,True,143,437,files;keywords;licenses;person_role;projects;sqlite_sequence,
23135689,data/student_metadata/23135689.db,True,True,True,500,2390,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;REPOSITORIES;sqlite_sequence,
23148157,data/student_metadata/23148157.db,True,True,True,2328,998,files;keywords;licenses;person_role;projects;sqlite_sequence,
23158572,data/student_metadata/23158572.db,True,True,True,22,606,files;keywords;licenses;person_role;projects,
23158587,data/student_metadata/23158587.db,True,True,True,62,4087,files;keywords;licenses;person_role;projects;sqlite_sequence,
23173040,data/student_metadata/23173040.db,True,True,True,1015,8620,files;keywords;licenses;person_role;projects;sqlite_sequence,
23206422,data/student_metadata/23206422.db,True,True,True,908,1527,files;keywords;licenses;person_role;projects;sqlite_sequence,
23220843,data/student_metadata/23220843.db,True,True,True,2049,16559,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS,
23221189,data/student_metadata/23221189.db,True,True,True,2285,61232,files;keywords;licenses;person_role;projects,
23240175,data/student_metadata/23240175.db,True,True,True,1517,2711,files;keywords;licenses;person_role;projects;sqlite_sequence,
23262136,data/student_metadata/23262136.db,True,True,True,26,0,FILES;KEYWORDS;LICENSES;PERSON_ROLE;projects;sqlite_sequence,
23273412,data/student_metadata/23273412.db,True,True,True,1585,5457,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS,
23277555,data/student_metadata/23277555.db,True,True,True,414,561,files;keywords;licenses;person_role;projects;sqlite_sequence,
23293505,data/student_metadata/23293505.db,True,True,True,232,20517,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;REPOSITORIES;sqlite_sequence,
23293539,data/student_metadata/23293539.db,True,True,True,312,8511,files;keywords;licenses;person_role;projects;sqlite_sequence,
23308310,data/student_metadata/23308310.db,True,True,True,100,25703,files;keywords;licenses;person_role;projects;sqlite_sequence,
23359384,data/student_metadata/23359384.db,True,True,True,3205,20832,PERSON_ROLE;files;keywords;licenses;projects;sqlite_sequence,
23365366,data/student_metadata/23365366.db,True,True,True,809,1110,files;keywords;licenses;person_role;projects;sqlite_sequence,
23453618,data/student_metadata/23453618.db,True,True,True,649,1498,files;keywords;licenses;person_role;projects;sqlite_sequence,
23455702,data/student_metadata/23455702.db,True,True,True,11967,14823,files;keywords;licenses;person_role;projects;repositories;sqlite_sequence,
23460503,data/student_metadata/23460503.db,True,True,True,2953,33235,files;keywords;licenses;person_role;projects;sqlite_sequence,
23514826,data/student_metadata/23514826.db,True,True,True,400,400,files;keywords;licenses;person_role;projects;repositories;sqlite_sequence,
23688981,data/student_metadata/23688981.db,True,True,True,486,6132,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23711815,data/student_metadata/23711815.db,True,True,True,3005,6632,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS;sqlite_sequence,
23724707,data/student_metadata/23724707.db,True,True,True,5960,9007,FILES;KEYWORDS;LICENSES;PERSON_ROLE;PROJECTS,
23727550,data/student_metadata/23727550.db,True,True,True,2684,143696,classification_inputs;file_classifications;files;isic_divisions;keywords;licenses;person_role;project_classifications;projects;sqlite_sequence,
